VEHICLE_NO	VCLE_KEYID	VIN	TERMINAL_ID
N23/Pu-004	219054	 N23/Pu-004_temp	VM-21C-0074
N19/99-122_1	180054	 N19/99-122_1_temp	VM-18L-0279
1901-B999	155414	1901-B999	BM-15C-0140
A21/99-001	183194	KMJTA18YPNC001002	VM-21C-0051
A22/99-002	195654	A22/99-002_temp	VM-21C-0092
AE1505-C008	40499	AE1505-C008	BM-15C-0019
AS0001	164974	AS0001_VIN	VM-20A-0001
AS0001_1	165054	AS0001_VIN_1	VM-20A-0001
AS0002	164975	AS0002_VIN	VM-20A-0002
AS0003	164976	AS0003_VIN	VM-20A-0003
AS0004	193375	AS0004_VIN	VM-20A-0004
AS0004	164977	AS0004_VIN	VM-20A-0004
AS0005	164978	AS0005_VIN	VM-20A-0005
AS0006	164979	AS0006_VIN	VM-20A-0006
AS0007	164980	AS0007_VIN	VM-20A-0007
AS0008	164981	AS0008_VIN	VM-20A-0008
AS0009	164982	AS0009_VIN	VM-20A-0009
AS0010	164983	AS0010_VIN	VM-20A-0010
AS0011	164984	AS0011_VIN	VM-20A-0011
AS0012	164985	AS0012_VIN	VM-20A-0012
AS0013	164986	AS0013_VIN	VM-20A-0013
AS0014	164987	AS0014_VIN	VM-20A-0014
AS0015	164988	AS0015_VIN	VM-20A-0015
AS0016	164989	AS0016_VIN	VM-20A-0016
AS0017	164990	AS0017_VIN	VM-20A-0017
AS0018	164991	AS0018_VIN	VM-20A-0018
AS0019	164992	AS0019_VIN	VM-20A-0019
AS0020	164993	AS0020_VIN	VM-20A-0020
AS0021	164994	AS0021_VIN	VM-20A-0020
AS0022	164995	AS0022_VIN	VM-20A-0022
AS0023	164996	AS0023_VIN	VM-20A-0023
AS0024	164997	AS0024_VIN	VM-20A-0024
AS0025	164998	AS0025_VIN	VM-20A-0025
AS0026	164999	AS0026_VIN	VM-20A-0026
AS0027	165000	AS0027_VIN	VM-20A-0027
AS0028	165001	AS0028_VIN	VM-20A-0028
AS0029	165002	AS0029_VIN	VM-20A-0029
AS0030	165003	AS0030_VIN	VM-20A-0030
AS0031	165005	AS0031_VIN	VM-20A-0030
AS0032	165006	AS0032_VIN	VM-20A-0032
AS0033	165007	AS0033_VIN	VM-20A-0033
AS0034	165008	AS0034_VIN	VM-20A-0034
AS0035	165009	AS0035_VIN	VM-20A-0035
AS0036	165010	AS0036_VIN	VM-20A-0036
AS0037	165011	AS0037_VIN	VM-20A-0037
AS0038	165012	AS0038_VIN	VM-20A-0038
AS0039	165013	AS0039_VIN	VM-20A-0039
AS0040	165014	AS0040_VIN	VM-20A-0040
AS0041	197994	AS0041_VIN	VM-18L-0035
AS0042	198014	AS0042_VIN	VM-18L-0098
AS0043	198015	AS0043_VIN	VM-18L-0238
AS0044	198016	AS0044_VIN	VM-21C-0020
AS0045	198017	AS0045_VIN	VM-21C-0119
AS9999	165214	AS9999_VIN	VM-18L-0203
B17/12-101	113934	LK_BUS_0001	BM-16L-0002
B17/12-102	113935	LK_BUS_0002	BM-16L-0010
B17/12-103	113936	LK_BUS_0003	BM-16L-0028
B17/12-104	113937	LK_BUS_0004	BM-16L-0042
B17/12-105	113938	LK_BUS_0005	BM-16L-0047
