B0000,Not Applicable-Used only as a service aid-not emissions related
B100051,Cluster Coding Not Programmed
B100051,EOL Not Programmed
B100052,EOL Not Programmed
B100152,SCC Missing Error
B100155,SCC Present Error
B100252,EPB Missing Error
B100255,EPB Present Error
B100352,ABS Missing Error
B100355,ABS Present Error
B100452,CUbis Missing Error
B100455,CUbis Present Error
B100552,Airbag Missing Error
B100555,Airbag Present Error
B100652,PSB Missing Error
B100655,PSB Present Error
B100752,AFLS Missing Error
B100755,AFLS Present Error
B100852,MDPS Missing Error
B100855,MDPS Present Error
B100952,4WD Missing Error
B100955,4WD Present Error
B101052,ESC Missing Error
B101055,ESC Present Error
B102052,TPMS Missing Error
B102055,TPMS Present Error
B103000,No Camera Tolerance Correction
B1030XX,No Camera Tolerance Correction
B104052,LKA Missing Error
B104055,LKA Present Error
B108052,ECS Missing Error
B108055,ECS Present Error
B108154,Calibration Not Performed
B109052,TCU Missing Error
B109055,TCU Present Error
B109152,EVP Missing Error
B109155,EVP Present Error
B109252,AHLS Missing Error
B109255,AHLS Present Error
B109352,eCall Missing Error
B109355,eCall Present Error
B110100,Battery Voltage High
B110117,Battery Voltage High
B110200,Battery Voltage Low
B110216,Battery Voltage Low
B110300,Communication Battery Voltage Too Low
B110400,Battery Voltage Out of Range
B110500,Reference Voltage Fault
B110600,Alternator ‘L’ Voltage
B110700,Alternator "L" Voltage High
B110800,Alternator "L" Voltage Low
B111000,Ignition Voltage
B111100,Ignition Voltage High
B111117,Ignition Voltage High
B111200,Ignition Voltage Low
B111216,Ignition Voltage Low
B111600,Battery Voltage Unstable
B111700,B+ Line Disconnected
B112817,Battery Voltage High
B112916,Battery Voltage Low
B120013,Humidity Sensor Open(High)
B120111,Humidity Sensor Short(Low)
B120213,Heater/Engine-Coolant Water Temperature Sensor Open(High)
B120311,Heater/Engine-Coolant Water Temperature Sensor Short(Low)
B120413,Air Mix Potentiometer Open (Low)-Passenger
B120511,Air Mix Potentiometer Short (High)-Passenger
B120613,Direction Potentiometer Open (Low)-Passenger
B120711,Direction Potentiometer Short (High)-Passenger
B120813,Intake Potentiometer Open (Low)
B120911,Intake Potentiometer Short (High)
B120A00,pPPS-Driver Short to Ground
B120B00,pPPS-Driver Short to Battery, Communication Error, Open 
B120C00,pPPS-Driver Defect
B120D00,pPPS-Driver Wrong ID
B120E00,pPPS-Passenger Short to Ground
B120F00,pPPS-Passenger Short to Battery, Communicaton Error, Open
B121000,Front Left Sensor Fault
B121100,Front Center Left Sensor Fault
B121200,Front Center Right Sensor Fault
B121300,Front Right Sensor Fault
B121400,Rear Left Sensor Fault
B121500,Rear Center Left Sensor Fault
B121600,Rear Center Right Sensor Fault
B121700,Rear Right Sensor Fault
B121A00,pPPS-Passenger Defect
B121B00,pPPS- Passenger Wrong ID
B121C00,gPPS-Driver Short to Ground
B121D00,gPPS-Driver Short to Battery, Communication Error, Open
B121E00,gPPS-Driver Defect
B121F00,gPPS-Driver Wrong ID
B122087,Vehicle Speed Sensor
B122100,gPPS-Passenger Short to Ground
B122300,Vehicle Speed Sensor Intermittent / Erratic / High
B122500,gPPS-Passenger Short to Battery, Communicaton Error, Open
B122A00,gPPS-Passenger Defect
B122B00,gPPS-Passenger Wrong ID
B122C00,gPPS-Center Short to Ground
B122D00,gPPS-Center Short to Battery, Communicaton Error, Open
B122E00,gPPS-Center Defect
B122F00,gPPS-Center Wrong ID
B123311,Incar Temp Sensor Short(Low) - Front
B123413,Incar Temp Sensor Open(High) - Front
B123711,Ambient Temperature Sensor Short (Low)
B123813,Ambient Temperature Sensor Open (High)
B124111,Evaporator Sensor Short (Low)
B124213,Evaporator Sensor Open (High)
B124513,Air Mix Potentiometer Open (Low)-Driver
B124611,Air Mix Potentiometer Short (High)-Driver
B124913,Direction Potentiometer Open (Low)-Driver
B124A88,PM Sensor Fail
B125011,Direction Potentiometer Short (High)-Driver
B125713,AQS Sensor Open (Low)
B125811,AQS Sensor Short (High)
B125913,AQS Sensor Fault
B126013,Air Mix Potentiometer Open (Low) - Rear
B126111,Air mix Potentiometer Short (High) - Rear
B126213,Direction Potentiometer Open (Low) - Rear
B126311,Direction Potentiometer Short (High) - Rear
B126413,Direction Potentiometer Open (Low)-VENT
B126511,Direction Potentiometer Short (High)-VENT
B126613,Direction Potentiometer Open (Low)-Floor
B126711,Direction Potentiometer Short (High)-Floor
B126813,Direction Potentiometer Open (Low)-Defog
B126911,Direction Potentiometer Short (High)-Defog
B126A13,Console Duct Direction potentiometer open (Low)
B126B11,Console Duct Direction potentiometer short (High)
B126C77,Console Duct Direction Control Motor
B127513,Air Mix Potentiometer-VENT Open (Low)-Console
B127611,Air Mix Potentiometer-VENT Short (High)-Console
B127713,Air Mix Potentiometer-TEMP Open (Low)-Console
B127811,Air Mix Potentiometer-TEMP Short (High)-Console
B127913,Air Mix Switch Potentiometer Open (Low)-Console
B128011,Air Mix Switch Potentiometer Short (High)-Console
B128111,Humidity Sensor Short (Low) - AUTO Defog
B128213,Humidity Sensor Open (High) - AUTO Defog
B128313,Direction Potentiometer Open (Low) - AUTO Defog
B128411,Direction Potentiometer Short (High) - Auto Defog
B128577,Direction Control Motor -AUTO Defog
B128611,Duct Sensor Short (Low) - Driver Vent
B128713,Duct Sensor Open (High) - Driver Vent
B128811,Duct Sensor Short (Low) - Driver Floor
B128913,Duct Sensor Open (High) - Driver Floor
B128A11,Duct Sensor Short (Low) - Console Vent
B128B13,Duct Sensor Open (High) - Console Vent
B12A013,Console On/Off Potentiometer Open(Low)
B12A111,Console On/Off Potentiometer Short(High)
B12A213,Air Flow Potentiometer Open (Low) - Front
B12A311,Air Flow Potentiometer Short (High) - Front
B12A413,Air Flow Potentiometer Open (Low) - Rear
B12A511,Air Flow Potentiometer Short (High) - Rear
B12A611,Duct Sensor Short (Low) - Console Floor
B12A713,Duct Sensor Open (High) - Console Floor
B12A811,Duct Sensor Short (Low) - Passenger Vent
B12A913,Duct Sensor Open (High) - Passenger Vent
B12AA11,Duct Sensor Short (Low) - Passenger Floor
B12AB13,Duct Sensor Open (High) - Passenger Floor
B12AC11,Dual Evap Sensor Short (Low) - Driver
B12AD13,Dual Evap Sensor Open (High) - Driver
B12AE11,Dual Evap Sensor Short (Low) - Passenger
B12AF13,Dual Evap Sensor Open (High) - Passenger
B12B013,Rear Driver B-PILLAR Potentiometer Open (Low)
