VEHICLE_NO	VCLE_KEYID	VIN	TERMINAL_ID
N23/07-429	220994	N23/07-429_temp	VM-23D-0193
N23/07-790	221842	N23/07-790_temp	VM-23D-0095
N23/09-552	223782	N23/09-552_temp	VM-21C-0207
N23/PU-004	219054	N23/PU-004_temp	VM-23D-0054
N23/PU-005	222014	N23/PU-005_temp	VM-23D-0206
N23/PU-007	222016	N23/PU-007_temp	VM-23D-0224
N23/PU-008	222017	N23/PU-008_temp	VM-23D-0222
N23/PU-009	222018	N23/PU-009_temp	VM-23D-0213
N23/PU-010	222034	N23/PU-010_temp	VM-23D-0208
N23/PU-011	222035	N23/PU-011_temp	VM-23D-0209
N23/PU-012	222019	N23/PU-012_temp	VM-23D-0212
N23/PU-013	222020	N23/PU-013_temp	VM-23D-0220
N23/PU-014	222021	N23/PU-014_temp	VM-23D-0201
N23/PU-015	222022	N23/PU-015_temp	VM-23D-0214
N23/PU-016	222696	N23/PU-016_temp	VM-23D-0234
N23/PU-017	222697	N23/PU-017_temp	VM-23D-0233
N23/PU-018	222698	N23/PU-018_temp	VM-23D-0230
N23/PU-019	222699	N23/PU-019_temp	VM-23D-0219
N23/PU-020	222700	N23/PU-020_temp	VM-23D-0218
N23/PU-021	222701	N23/PU-021_temp	VM-23D-0217
N23/PU-022	222702	N23/PU-022_temp	VM-23D-0216
N23/PU-023	222703	N23/PU-023_temp	VM-23D-0215
N23/08-001	201054	N23/08-001	VM-18L-0286
N99/99-999	155794	VDMS Initialization	BM-16L-0069
NA_CPG_001	136454	NA_CPG_001	BM-16L-0048
NE/V2G-J001	179794	KMHKN81AFNU009899	VM-21C-0007
NE/V2G-J002	179795	KMHKN81AFNU012841	VM-21C-0008
NE/V2G-J003	179796	KMHKN81AFNU009902	VM-21C-0009
NE/V2G-J004	179797	KMHKN81AFNU012840	VM-21C-0010
NE/V2G-J005	179776	KMHKN81AFNU012843	VM-21C-0011
NE/V2G-J006	179798	KMHKN81AFNU009889	VM-21C-0012
NE/V2G-J007	179777	KMHKN81AFNU012833	VM-21C-0013
NE/V2G-J008	179799	KMHKN81AFNU009885	VM-21C-0014
NE/V2G-J009	179800	KMHKN81AFNU009896	VM-21C-0015
NE/V2G-J010	179801	KMHKR81AFNU010651	VM-21C-0016
NE/V2G-J011	179802	KMHKN81AFNU012831	VM-21C-0017
NE/V2G-J012	179778	KMHKN81AFNU009890	VM-21C-0018
NE/V2G-J013	179803	KMHKN81AFNU012830	VM-21C-0031
NE/V2G-J014	179779	KMHKN81AFNU012835	VM-21C-0032
NE/V2G-J015	179780	NE/V2G-J015_temp	VM-21C-0033
NE/V2G-J015_1	179875	KMHKN81AFNU009895	VM-21C-0033
NE/V2G-J016	179804	KMHKN81AFNU012839	VM-21C-0034
